unit_id,model,question_id,template,gold_type,question,gold_item,relation_asked,gold_edge,full_gold_set,model_answer,human_asserted,human_required_or_alternative,human_confidence,human_quote,human_notes
gemini-3.7-flash-t0|q0136|0,gemini-3.7-flash,q0136,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Open Data? Also name up to three broader ancestor concepts.",Data Management,subClassOf (immediate parent concept),Open Data --subClassOf--> Data Management,Data Management,"Based on the DreamLab knowledge graph:

* **Immediate Parent Concept (`is-a`):** Data Management
* **Broader Ancestor Concepts:** 
  1. Data Management (Infrastructure)
  2. Infrastructure",,,,,
mistral-small-24b|q0102|1,mistral-small-24b,q0102,T-REL,all,"According to the DreamLab knowledge graph, what does Wallet enable?",Blockchain Application,enables (enables),Wallet --enables--> Blockchain Application,DeFi | Blockchain Application,"According to the provided ontology context, a Wallet enables the following:

1. **DeFi (Decentralised Finance)**: This is the ecosystem of open, permissionless financial protocols and applications deployed as Smart Contracts on public blockchains, primarily Ethereum, that replicate and extend traditional financial services.

2. **Blockchain Application**: This refers to a decentralized application (dApp) that runs on a blockchain or peer-to-peer network rather than centralized servers, combining smart contract backend logic with frontend interfaces to provide enhanced security and other benefits.",,,,,
gpt-4.1-mini|q0326|0,gpt-4.1-mini,q0326,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Mathematical Foundations? Also name up to three broader ancestor concepts.",Mathematical Science,subClassOf (immediate parent concept),Mathematical Foundations --subClassOf--> Mathematical Science,Mathematical Science,"In the DreamLab knowledge graph, the immediate parent concept of Mathematical Foundations is **Mathematical Science**.

Up to three broader ancestor concepts are:
1. Artificial Intelligence Core
2. Artificial Intelligence
3. Machine Learning Discipline",,,,,
qwen-2.5-72b|q0367|1,qwen-2.5-72b,q0367,T-REL,all,"According to the DreamLab knowledge graph, what does TELE-050-neural-rendering-telepresence require?",Novel View Synthesis,requires (requires),TELE-050-neural-rendering-telepresence --requires--> Novel View Synthesis,Neural Rendering | Novel View Synthesis,"Based on the provided ontology context, the concept ""TELE-050-neural-rendering-telepresence"" is not explicitly defined. However, we can infer the requirements by combining the relevant aspects of Neural Rendering and Telepresence.

### Neural Rendering Requirements:
- **Graphics Processing Unit (GPU)**: For accelerating the rendering process.
- **Implicit Neural Representation**: For encoding scene geometry and appearance.
- **Deep Learning and Convolutional Neural Networks (CNNs)**: For training and inference.
- **Gradient Descent and Ray Marching**: For optimization and rendering techniques.
- **Neural Radiance Fields (NeRF)**: For scene representation and novel view synthesis.

### Telepresence Requirements:
- **Low-Latency Networking**: For real-time communication.
- **Real-Time Communication**: For seamless interaction.
- **Display Technology**: For high-quality visual output.
- **Spatial Audio**: For immersive auditory experiences.
- **Haptic Feedback**: For tactile sensations.
- **5G Network and Edge Computing**: For supporting high-bandwidth, low-latency applications.
- **WebRTC**: For real-time communication protocols.
- **Virtual Reality (VR) and Augmented Reality (AR)**: For immersive experiences.
- **Teleoperation**: For remote control and manipulation.

### Combined Requirements for Neural Rendering in Telepresence:
- **Graphics Processing Unit (GPU)**: To handle the computational demands of neural rendering.
- **Implicit Neural Representation**: To efficiently represent and render 3D scenes.
- **Deep Learning and Convolutional Neural Networks (CNNs)**: To train and deploy neural models.
- **Gradient Descent and Ray Marching**: To optimize and render scenes.
- **Neural Radiance Fields (NeRF)**: To synthesize novel views and enhance scene representation.
- **Low-Latency Networking**: To ensure real-time interaction.
- **Real-Time Communication**: To maintain seamless user experiences.
- **Display Technology**: To provide high-quality visual output.
- **Spatial Audio**: To create immersive auditory environments.
- **Haptic Feedback**: To enhance tactile interactions.
- **5G Network and Edge Computing**: To support high-bandwidth, low-latency applications.
- **WebRTC**: To facilitate real-time communication.
- **Virtual Reality (VR) and Augmented Reality (AR)**: To enable immersive telepresence experiences.
- **Teleoperation**: To allow for remote control and manipulation.

These combined requirements ensure that neural rendering can be effectively integrated into telepresence systems, providing high-quality, real-time, and immersive experiences.",,,,,
mistral-small-24b|q0159|0,mistral-small-24b,q0159,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Connectionist Temporal Classification? Also name up to three broader ancestor concepts.",Speech Recognition,subClassOf (immediate parent concept),Connectionist Temporal Classification --subClassOf--> Speech Recognition,Speech Recognition,"The immediate parent concept of Connectionist Temporal Classification (CTC) is **Speech Recognition**.

Three broader ancestor concepts are:

1. **Natural Language Processing**
2. **AI Research Area**
3. **Artificial Intelligence**",,,,,
glm-4.6|q0431|3,glm-4.6,q0431,T-REL,all,"According to the DreamLab knowledge graph, what does Revocation Registry enable?",Trust Management,enables (enables),Revocation Registry --enables--> Trust Management,Decentralized Identity | Credential Issuance | Access Control | Trust Management,"
According to the provided ontology context, a Revocation Registry enables:

*   Decentralized Identity
*   Credential Issuance
*   Access Control",,,,,
gemini-2.5-flash-lite|q0184|0,gemini-2.5-flash-lite,q0184,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Byzantine Generals Problem? Also name up to three broader ancestor concepts.",Fault Tolerance,subClassOf (immediate parent concept),Byzantine Generals Problem --subClassOf--> Fault Tolerance,Fault Tolerance,"The immediate parent concept of Byzantine Generals Problem is **Fault Tolerance**.

Three broader ancestor concepts are:

1.  **Computing and Cloud**
2.  **Software Engineering (Infrastructure)**
3.  **Infrastructure**",,,,,
gemini-3.5-flash-lite|q0493|2,gemini-3.5-flash-lite,q0493,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Interoperability Standards?",Standards Conformance Testing,hasPart (has part),Interoperability Standards --hasPart--> Standards Conformance Testing,Data Format Standard | API Specification | Standards Conformance Testing,"According to the provided ontology context, the parts of **Interoperability Standards** (`hasPart`) are:

* **Data Format Standard**
* **API Specification**
* **Standards Conformance Testing**",,,,,
llama-3.3-70b|q0172|1,llama-3.3-70b,q0172,T-REL,all,"According to the DreamLab knowledge graph, what does STUN and TURN enable?",Signaling Server,enables (enables),STUN and TURN --enables--> Signaling Server,WebRTC | Signaling Server,"According to the provided ontology context, STUN and TURN enable WebRTC and Signaling Server.",,,,,
qwen-2.5-72b|q0321|1,qwen-2.5-72b,q0321,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Calculus? Also name up to three broader ancestor concepts.",Mathematical Science,subClassOf (immediate parent concept),Calculus --subClassOf--> Mathematical Science,Machine Learning | Mathematical Science,"In the DreamLab knowledge graph, the immediate parent concept of Calculus is **Machine Learning Discipline**. The broader ancestor concepts of Calculus include:

1. **Machine Learning Technique**
2. **AI Research Area**
3. **Artificial Intelligence Core**

These concepts form the hierarchical structure leading up to Calculus in the knowledge graph.",,,,,
gemini-3.5-flash-lite|q0219|3,gemini-3.5-flash-lite,q0219,T-REL,all,"According to the DreamLab knowledge graph, what does Asset Management use?",Smart Contracts,uses (uses),Asset Management --uses--> Smart Contracts,Custody | Risk Management | Tokenization | Smart Contracts,"According to the provided ontology context for Asset Management, it **uses**:

* **Custody**
* **Risk Management**
* **Tokenization**",,,,,
gpt-4.1-mini|q0263|3,gpt-4.1-mini,q0263,T-REL,all,"According to the DreamLab knowledge graph, what does Digital Rights Management require?",Digital Watermarking,requires (requires),Digital Rights Management --requires--> Digital Watermarking,Encryption | Smart Contracts | Public Key Infrastructure | Digital Watermarking,"According to the DreamLab knowledge graph, Digital Rights Management requires Encryption, Smart Contracts, and Public Key Infrastructure.",,,,,
gpt-4.1-mini|q0219|3,gpt-4.1-mini,q0219,T-REL,all,"According to the DreamLab knowledge graph, what does Asset Management use?",Smart Contracts,uses (uses),Asset Management --uses--> Smart Contracts,Custody | Risk Management | Tokenization | Smart Contracts,"According to the DreamLab knowledge graph, Asset Management uses Custody and Risk Management.",,,,,
gpt-4.1-mini|q0489|3,gpt-4.1-mini,q0489,T-REL,all,"According to the DreamLab knowledge graph, what does IETF enable?",API Standard,enables (enables),IETF --enables--> API Standard,Interoperability | Network Protocol | Communication Protocol | API Standard,"According to the DreamLab knowledge graph, the IETF enables Interoperability, Network Protocol, and Communication Protocol.",,,,,
deepseek-chat|q0030|3,deepseek-chat,q0030,T-REL,all,"According to the DreamLab knowledge graph, what does Signal Processing use?",Compressed Sensing,uses (uses),Signal Processing --uses--> Compressed Sensing,Fast Fourier Transform | Wavelet Transform | Kalman Filter | Compressed Sensing,"According to the DreamLab knowledge graph, Signal Processing **uses** the following:

- **Fast Fourier Transform**
- **Wavelet Transform**
- **Kalman Filter**",,,,,
gemini-2.5-flash-lite|q0044|2,gemini-2.5-flash-lite,q0044,T-REL,all,"According to the DreamLab knowledge graph, what does Edge AI Security depend on?",Model Compression for Edge,dependsOn (depends on),Edge AI Security --dependsOn--> Model Compression for Edge,Edge Computing | Internet of Things | Model Compression for Edge,"According to the DreamLab knowledge graph, Edge AI Security depends on:

*   Edge Computing
*   Internet of Things
*   Model Compression for Edge",,,,,
qwen-2.5-72b|q0210|2,qwen-2.5-72b,q0210,T-REL,all,"According to the DreamLab knowledge graph, what does State Machine Replication require?",Total Order Broadcast,requires (requires),State Machine Replication --requires--> Total Order Broadcast,Consensus Mechanism | Fault Tolerance | Total Order Broadcast | Deterministic Execution,"According to the DreamLab knowledge graph, State Machine Replication (SMR) requires the following components:

- **Consensus Mechanism**: A method for ensuring that all replicas agree on the same sequence of commands.
- **Fault Tolerance**: The ability to continue operating correctly in the presence of some faulty components.
- **Total Order Broadcast**: A mechanism to ensure that all replicas receive and process commands in the same order.

These components are essential for SMR to function correctly and ensure that all correct replicas converge to the same state after executing every command.",,,,,
gemini-2.5-flash-lite|q0188|3,gemini-2.5-flash-lite,q0188,T-REL,all,"According to the DreamLab knowledge graph, what does Decentralisation enable?",Permissionless Innovation,enables (enables),Decentralisation --enables--> Permissionless Innovation,Decentralised Finance | Decentralised Identity | Censorship Resistance | Permissionless Innovation,"Decentralisation enables:

*   Decentralised Finance
*   Decentralised Identity
*   Censorship Resistance",,,,,
claude-haiku-4.5|q0387|0,claude-haiku-4.5,q0387,T-REL,all,"According to the DreamLab knowledge graph, what does rb 0012 wheeled mobile robot use?",Odometry,uses (uses),rb 0012 wheeled mobile robot --uses--> Odometry,Odometry | SLAM | rb 0075 range finder,"I don't have access to the DreamLab knowledge graph or any specific information about an ""rb 0012 wheeled mobile robot"" in my training data or the ontology context provided.

To answer your question about what rb 0012 uses, I would need:

1. **Direct access to the DreamLab knowledge graph** - You would need to query it directly or provide me with the specific data about rb 0012
2. **More context** - Information about what DreamLab is and where this robot is documented

However, based on the general ontology context provided, I can tell you that **wheeled mobile robots typically use**:
- **SLAM** (Simultaneous Localisation and Mapping)
- **Sensor Fusion**
- **Robot Operating System (ROS)**

And more broadly, mobile robots use:
- **LiDAR**
- **Inertial Measurement Units (IMU)**
- **Computer Vision**

If you have access to the DreamLab knowledge graph, you could query it directly for rb 0012's specific components and systems. Alternatively, if you can share the relevant data about rb 0012, I'd be happy to help interpret it.",,,,,
deepseek-chat|q0089|2,deepseek-chat,q0089,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of ISO 22739?",Cryptographic Key,hasPart (has part),ISO 22739 --hasPart--> Cryptographic Key,Smart Contract | Distributed Ledger | Cryptographic Key | Digital Identity,"Based on the DreamLab knowledge graph provided, the parts of ISO 22739 are:

- **Smart Contract**
- **Distributed Ledger**

These are listed under the `hasPart` relation for ISO 22739 in the ontology context.",,,,,
deepseek-chat|q0281|0,deepseek-chat,q0281,T-COMMON,any,What broader concept do Data Residency and eIDAS both fall under in the DreamLab knowledge graph?,Infrastructure,common ancestor (shared broader concept),Data Residency --ancestorOf^-1--> Infrastructure <--ancestorOf^-1-- eIDAS,Infrastructure,"Based on the DreamLab knowledge graph, both **Data Residency** and **eIDAS** fall under the broader concept of **Data Governance**.

- **Data Residency** is explicitly listed as a subclass of **Data Governance** (is-a: Data Governance).
- **eIDAS** is classified as a **Regulatory Framework**, and its ancestors include **Legal Framework** and **Legal and Regulatory**. While it is not directly listed as a subclass of Data Governance, its role as a regulatory framework for electronic identification and trust services places it within the governance domain, and the graph shows it supports GDPR and relates to data protection regulations.",,,,,
gpt-4.1-mini|q0243|0,gpt-4.1-mini,q0243,T-REL,all,"According to the DreamLab knowledge graph, what does Sustainable Finance use?",ESG,uses (uses),Sustainable Finance --uses--> ESG,ESG | EU Taxonomy | TCFD | IFRS S1,"According to the DreamLab knowledge graph, Sustainable Finance uses ESG, EU Taxonomy, and TCFD.",,,,,
